provider_code,provider_name,category,game_symbol,game_name,localized_title,game_image,launch_enable,under_maintenance
1,Pragmatic Play,Slot,vs20multcann,Hell Butcher,Hell Butcher,https://bo-prd-v2.meganodes.net/img/games/p1/vs20multcann.jpg,True,False
1,Pragmatic Play,Slot,vs25bstackwild,Out of the Woods,Out of the Woods,https://bo-prd-v2.meganodes.net/img/games/p1/vs25bstackwild.jpg,True,False
1,Pragmatic Play,Slot,vs20wraanu,Fury of Anubis,Fury of Anubis,https://bo-prd-v2.meganodes.net/img/games/p1/vs20wraanu.jpg,True,False
1,Pragmatic Play,Slot,vs20bigbbear,Bear Crazy,Bear Crazy,https://bo-prd-v2.meganodes.net/img/games/p1/vs20bigbbear.jpg,True,False
1,Pragmatic Play,Slot,vswaysmajhng3p,Mahjong Wins Triple Pot,Mahjong Wins Triple Pot,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysmajhng3p.jpg,True,False
1,Pragmatic Play,Slot,vswaysbibebarn,Better Barn House Bonanza,Better Barn House Bonanza,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysbibebarn.jpg,True,False
1,Pragmatic Play,Slot,vsways4ptgld,Caishen’s Cash Pots,Caishen’s Cash Pots,https://bo-prd-v2.meganodes.net/img/games/p1/vsways4ptgld.jpg,True,False
1,Pragmatic Play,Slot,vswayssanator,Sanatorium Secrets,Sanatorium Secrets,https://bo-prd-v2.meganodes.net/img/games/p1/vswayssanator.jpg,True,False
1,Pragmatic Play,Slot,vs20candyia,Candy Rush,Candy Rush,https://bo-prd-v2.meganodes.net/img/games/p1/vs20candyia.jpg,True,False
1,Pragmatic Play,Live,4601,SEOTDA_BACCARAT,SEOTDA_BACCARAT,https://bo-prd-v2.meganodes.net/img/games/p1/4601.jpg,True,False
1,Pragmatic Play,Slot,vs5jkrrevenge,Joker's Revenge,Joker's Revenge,https://bo-prd-v2.meganodes.net/img/games/p1/vs5jkrrevenge.jpg,True,False
1,Pragmatic Play,Slot,vs10bbwcup,Big Bass Football Bonanza,Big Bass Football Bonanza,https://bo-prd-v2.meganodes.net/img/games/p1/vs10bbwcup.jpg,True,False
1,Pragmatic Play,Slot,vs20bgdoghouse,The Big Dog House,The Big Dog House,https://bo-prd-v2.meganodes.net/img/games/p1/vs20bgdoghouse.jpg,True,False
1,Pragmatic Play,Slot,vs20prizegrow,Heartbreakers,Heartbreakers,https://bo-prd-v2.meganodes.net/img/games/p1/vs20prizegrow.jpg,True,False
1,Pragmatic Play,Slot,vswaysrocktrls,Launch to Riches,Launch to Riches,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysrocktrls.jpg,True,False
1,Pragmatic Play,Slot,vswaysmrcursc,Mr Null’s Wicked Wares,Mr Null’s Wicked Wares,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysmrcursc.jpg,True,False
1,Pragmatic Play,Slot,vswaysdragden,Dragon Pots Megaways™,Dragon Pots Megaways™,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysdragden.jpg,True,False
1,Pragmatic Play,Slot,vs20swbon2500,Sweet Bonanza 2500,Sweet Bonanza 2500,https://bo-prd-v2.meganodes.net/img/games/p1/vs20swbon2500.jpg,True,False
1,Pragmatic Play,Slot,vs10bbtrphfshn,Big Bass Trophy Catch,Big Bass Trophy Catch,https://bo-prd-v2.meganodes.net/img/games/p1/vs10bbtrphfshn.jpg,True,False
1,Pragmatic Play,Slot,vs50grghsts,Great Ghosts!,Great Ghosts!,https://bo-prd-v2.meganodes.net/img/games/p1/vs50grghsts.jpg,True,False
1,Pragmatic Play,Slot,vswayscypup,Cyber Pup Megaways™,Cyber Pup Megaways™,https://bo-prd-v2.meganodes.net/img/games/p1/vswayscypup.jpg,True,False
1,Pragmatic Play,Slot,vs20thunder,Inca Queen,Inca Queen,https://bo-prd-v2.meganodes.net/img/games/p1/vs20thunder.jpg,True,False
1,Pragmatic Play,Slot,vs20slightwdm,Idol Pop Fever,Idol Pop Fever,https://bo-prd-v2.meganodes.net/img/games/p1/vs20slightwdm.jpg,True,False
1,Pragmatic Play,Slot,vs20payanyvol,Jelly Express,Jelly Express,https://bo-prd-v2.meganodes.net/img/games/p1/vs20payanyvol.jpg,True,False
1,Pragmatic Play,Slot,vswaysbooboo,Furry Bonanza Megaways™,Furry Bonanza Megaways™,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysbooboo.jpg,True,False
1,Pragmatic Play,Slot,vs20clustersw,Snow Party,Snow Party,https://bo-prd-v2.meganodes.net/img/games/p1/vs20clustersw.jpg,True,False
1,Pragmatic Play,Slot,vs10stmreels,Steamin’ Reels,Steamin’ Reels,https://bo-prd-v2.meganodes.net/img/games/p1/vs10stmreels.jpg,True,False
1,Pragmatic Play,Slot,vswaystrpgug,Triple Pot Diamond,Triple Pot Diamond,https://bo-prd-v2.meganodes.net/img/games/p1/vswaystrpgug.jpg,True,False
1,Pragmatic Play,Slot,vs25luckpub,Luckys Wild Pub 2,Luckys Wild Pub 2,https://bo-prd-v2.meganodes.net/img/games/p1/vs25luckpub.jpg,True,False
1,Pragmatic Play,Slot,vswaysmjwl2,Mummys Jewels 100,Mummys Jewels 100,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysmjwl2.jpg,True,False
1,Pragmatic Play,Slot,vs10bbrcdr,Big Bass Raceday Repeat,Big Bass Raceday Repeat,https://bo-prd-v2.meganodes.net/img/games/p1/vs10bbrcdr.jpg,True,False
1,Pragmatic Play,Slot,vs20dhousehm,Haunted Crypt,Haunted Crypt,https://bo-prd-v2.meganodes.net/img/games/p1/vs20dhousehm.jpg,True,False
1,Pragmatic Play,Slot,vs25scolymp,CULT,CULT,https://bo-prd-v2.meganodes.net/img/games/p1/vs25scolymp.jpg,True,False
1,Pragmatic Play,Slot,vs20rnriches,Rolling in Treasures,Rolling in Treasures,https://bo-prd-v2.meganodes.net/img/games/p1/vs20rnriches.jpg,True,False
1,Pragmatic Play,Slot,vswayscyclop,Wild Skullz,Wild Skullz,https://bo-prd-v2.meganodes.net/img/games/p1/vswayscyclop.jpg,True,False
1,Pragmatic Play,Slot,vs25wolfgmm,3 Magic Eggs,3 Magic Eggs,https://bo-prd-v2.meganodes.net/img/games/p1/vs25wolfgmm.jpg,True,False
1,Pragmatic Play,Slot,vs5tikistrike,Super Tiki Strike,Super Tiki Strike,https://bo-prd-v2.meganodes.net/img/games/p1/vs5tikistrike.jpg,True,False
1,Pragmatic Play,Slot,vs25tripleps,Treasure of Osiris,Treasure of Osiris,https://bo-prd-v2.meganodes.net/img/games/p1/vs25tripleps.jpg,True,False
1,Pragmatic Play,Slot,vs15zeushadseq,Zeus vs Hades - Gods of War 250,Zeus vs Hades - Gods of War 250,https://bo-prd-v2.meganodes.net/img/games/p1/vs15zeushadseq.jpg,True,False
1,Pragmatic Play,Slot,vs10dublin,Emerald King - Wheel of Wealth,Emerald King - Wheel of Wealth,https://bo-prd-v2.meganodes.net/img/games/p1/vs10dublin.jpg,True,False
1,Pragmatic Play,Slot,vswaysfirest3,Fire Stampede Ultimate,Fire Stampede Ultimate,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysfirest3.jpg,True,False
1,Pragmatic Play,Slot,vs10cenrlgdevl,Knight vs Barbarians,Knight vs Barbarians,https://bo-prd-v2.meganodes.net/img/games/p1/vs10cenrlgdevl.jpg,True,False
1,Pragmatic Play,Slot,vswayscyhecity,Cyberheist City,Cyberheist City,https://bo-prd-v2.meganodes.net/img/games/p1/vswayscyhecity.jpg,True,False
1,Pragmatic Play,Slot,vs10bbsplashx,Big Bass Splash 1000,Big Bass Splash 1000,https://bo-prd-v2.meganodes.net/img/games/p1/vs10bbsplashx.jpg,True,False
1,Pragmatic Play,Slot,vswaysbkingasc,Buffalo King Untamed Megaways,Buffalo King Untamed Megaways,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysbkingasc.jpg,True,False
1,Pragmatic Play,Slot,vswayswildeq,Wheel of Happiness,Wheel of Happiness,https://bo-prd-v2.meganodes.net/img/games/p1/vswayswildeq.jpg,True,False
1,Pragmatic Play,Slot,vs10hottuna,Hot Tuna,Hot Tuna,https://bo-prd-v2.meganodes.net/img/games/p1/vs10hottuna.jpg,True,False
1,Pragmatic Play,Slot,vswaysacnd,Anaconda Gold,Anaconda Gold,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysacnd.jpg,True,False
1,Pragmatic Play,Slot,vs40hmrstrm,Hammerstorm,Hammerstorm,https://bo-prd-v2.meganodes.net/img/games/p1/vs40hmrstrm.jpg,True,False
1,Pragmatic Play,Slot,vs20olympgcl,Fortune of Olympus,Fortune of Olympus,https://bo-prd-v2.meganodes.net/img/games/p1/vs20olympgcl.jpg,True,False
